 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
103,103,att.transcriptional,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.transcriptional.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.transcriptional.html</a>,,TEI infrastructure,,,,
104,104,att.translatable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.translatable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.translatable.html</a>,,TEI infrastructure,,,,
105,105,att.typed,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.typed.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.typed.html</a>,,TEI infrastructure,,,,
106,106,att.witnessed,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.witnessed.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.witnessed.html</a>,,textcrit,,,,
107,107,attDef,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attDef.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attDef.html</a>,0,tagdocs,,,,
108,108,attList,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attList.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attList.html</a>,0,tagdocs,,,,
109,109,attRef,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attRef.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attRef.html</a>,,tagdocs,,,,
110,110,author,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-author.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-author.html</a>,1,core,,,,
111,111,authority,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-authority.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-authority.html</a>,0,header,,,,
112,112,availability,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-availability.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-availability.html</a>,1,header,,,,
113,113,back,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-back.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-back.html</a>,1,textStruct,,,,
114,114,bibl,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bibl.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bibl.html</a>,1,core,,,,
115,115,biblFull,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblFull.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblFull.html</a>,,header,,,,
116,116,biblScope,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblScope.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblScope.html</a>,,core,,,,
117,117,biblStruct,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblStruct.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblStruct.html</a>,,core,,,,
118,118,bicond,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bicond.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bicond.html</a>,0,iso-fs,,,,
119,119,binary,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binary.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binary.html</a>,0,iso-fs,,,,
120,120,binaryObject,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binaryObject.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binaryObject.html</a>,1,core,,,,
121,121,binding,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binding.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binding.html</a>,,msdescription,,,,
122,122,bindingDesc,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bindingDesc.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bindingDesc.html</a>,,msdescription,,,,
123,123,birth,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-birth.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-birth.html</a>,,namesdates,,,,
124,124,bloc,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bloc.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bloc.html</a>,1,namesdates,,,,
